Change%,Company,Company2,Price,Volume,Low,High
▲ 5.71%,RPM,RPM International Inc,84.24,313082,79.98,86.48
▲ 5.48%,SAND,Sandstorm Gold Ltd,10.495,1269538,10.34,10.59
▲ 4.18%,SCHN,"Schnitzer Steel Industries, Inc",18.69,33949,18.04,18.69
▲ 1.82%,SWM,"Schweitzer-Mauduit International, Inc",33.54,19157,33.43,33.54
▲ 4.73%,SA,Seabridge Gold Inc,19.93,228782,19.88,20.15
▼ -2.03%,SNES,"SenesTech, Inc",1.93,20052,1.93,1.93
▼ -0.74%,SXT,Sensient Technologies Corporation,52.51,17037,52.51,53.095
▲ 8.61%,SMTS,Sierra Metals Inc,1.64,29710,1.64,1.64
▲ 1.94%,SVM,Silvercorp Metals Inc,7.615,1800838,7.6,7.895
▲ 5.92%,SILV,SilverCrest Metals Inc,10.56,213724,10.56,10.72
▲ 1.92%,SQM,Sociedad Quimica y Minera de Chile S.A,30.84,103083,30.53,30.94
▲ 4.34%,SCCO,Southern Copper Corporation,44.95,133727,43.37,44.95
▲ 4.61%,SSRM,SSR Mining Inc,24.635,619037,24.52,24.955
▲ 0.84%,STLD,"Steel Dynamics, Inc",28.065,227257,27.415,28.09
▲ 1.55%,SCL,Stepan Company,110.165,9585,108.57,110.165
▲ 3.11%,SUM,"Summit Materials, Inc",17.385,233648,17.16,17.55
▼ -1.24%,SXC,"SunCoke Energy, Inc",3.18,23229,3.18,3.215
▼ -1.36%,SUZ,Suzano S.A,7.98,26587,7.98,8.01
▲ 3.32%,TGB,Taseko Mines Limited,0.7904,5550327,0.7904,0.85
▲ 0.94%,TECK,Teck Resources Limited,11.275,781107,11,11.31
▼ -0.14%,TX,Ternium S.A,14.45,18242,14.35,14.49
▲ 2.75%,CC,The Chemours Company,17.57,253502,16.88,17.57
▲ 2.16%,MOS,The Mosaic Company,13.965,501054,13.63,13.99
▲ 1.60%,SMG,The Scotts Miracle-Gro Company,148.38,20033,147.77,148.85
▲ 1.20%,SHW,The Sherwin-Williams Company,627.43,190009,625.06,631.46
▲ 1.23%,TMST,TimkenSteel Corporation,3.695,14307,3.65,3.695
▼ -0.34%,TREC,Trecora Resources,5.94,1483,5.94,5.94
▲ 0.83%,TG,Tredegar Corporation,15.87,3817,15.81,15.87
▲ 8.68%,TMQ,Trilogy Metals Inc,2.38,215495,2.33,2.38
▲ 8.78%,TSE,Trinseo S.A,26.085,363910,25.18,26.62
▲ 1.97%,TROX,Tronox Holdings plc,7.75,66138,7.635,7.755
▲ 5.65%,TRQ,Turquoise Hill Resources Ltd,0.898,1097470,0.8692,0.9028
▲ 0.70%,X,United States Steel Corporation,7.945,1137702,7.83,7.96
▼ -0.20%,UNVR,Univar Solutions Inc,17.855,318441,17.79,17.915
▲ 1.64%,UFPI,"Universal Forest Products, Inc",55.81,57442,54.78,55.89
▼ -5.03%,USAP,"Universal Stainless & Alloy Products, Inc",7.55,782,7.55,7.55
▲ 1.58%,USCR,"U.S. Concrete, Inc",27.02,30758,26.665,27.05
▲ 2.00%,VALE,Vale S.A,11.485,8517692,11.355,11.495
▼ -0.92%,VEDL,Vedanta Limited,5.895,64646,5.86,5.895
▲ 2.89%,VNTR,Venator Materials PLC,1.78,79575,1.755,1.8
▲ 2.08%,VRS,Verso Corporation,13.22,45834,12.93,13.23
▲ 6.72%,VGZ,Vista Gold Corp,1.27,349751,1.27,1.27
▲ 0.35%,VMC,Vulcan Materials Company,127.73,105619,125.935,127.865
▲ 0.82%,HCC,"Warrior Met Coal, Inc",16.06,29234,15.67,16.11
▲ 1.09%,WDFC,WD-40 Company,187.35,2145,186.715,187.35
▲ 0.84%,WRN,Western Copper and Gold Corporation,1.2,151274,1.195,1.2
▲ 3.24%,WLK,Westlake Chemical Corporation,57.76,51172,56.03,57.82
▲ 5.20%,WPM,Wheaton Precious Metals Corp,56.41,1724655,54.92,56.545
▲ 1.84%,WOR,"Worthington Industries, Inc",38.2,52757,37.255,38.2
▼ -0.57%,GRA,W. R. Grace & Co,49.325,32062,49.025,49.575
▲ 6.75%,AUY,Yamana Gold Inc,6.725,11909477,6.66,6.875
▲ 1.90%,YTEN,"Yield10 Bioscience, Inc",6.43,655,6.43,6.43
