Change%,Company,Company2,Price,Volume,Low,High
▲ 1.17%,AMSC,American Superconductor Corporation,9.55,5366,9.49,9.55
0.00%,AME,"AMETEK, Inc",92.9,51636,92.24,92.94
▲ 0.65%,AOS,A. O. Smith Corporation,51.645,42579,51.15,51.645
▲ 0.47%,APOG,"Apogee Enterprises, Inc",22.645,0,22.645,22.645
▼ -0.89%,AIT,"Applied Industrial Technologies, Inc",63.75,1923,63.75,63.75
▲ 0.29%,ARCB,ArcBest Corporation,30.67,2137,30.52,30.67
▼ -2.97%,ARC,"ARC Document Solutions, Inc",0.98,5404,0.98,0.98
▲ 0.18%,ARNC,Arconic Inc,16.38,28801,16.22,16.45
▼ -0.02%,ACA,"Arcosa, Inc",41.59,2844,41.39,41.59
▲ 0.97%,ASC,Ardmore Shipping Corporation,4.16,61725,4.11,4.17
▲ 0.11%,AGX,"Argan, Inc",44.79,0,44.79,44.79
▼ -1.16%,ARLO,"Arlo Technologies, Inc",3.4,60023,3.39,3.42
▲ 0.84%,AWI,"Armstrong World Industries, Inc",80.75,7759,80.16,80.75
▼ -0.94%,ASGN,ASGN Incorporated,67.755,4362,67.755,68.55
▼ -0.54%,ASTE,"Astec Industries, Inc",44.6,2377,44.6,44.6
▼ -1.77%,ATRO,Astronics Corporation,8.86,12125,8.82,8.87
▲ 0.47%,AAWW,"Atlas Air Worldwide Holdings, Inc",48.085,3399,48.085,48.085
▼ -0.35%,ADP,"Automatic Data Processing, Inc",144.92,134329,144.23,146.825
▼ -3.41%,AVY,Avery Dennison Corporation,116.3,166255,114.29,120.46
▼ -0.20%,CAR,"Avis Budget Group, Inc",29.42,201818,28.97,29.485
▲ 0.79%,AAXN,"Axon Enterprise, Inc",86.295,71522,86.175,87.03
▼ -0.43%,AZEK,AZEK Company Inc Class A,32.26,4558,32.26,32.26
0.00%,AZUL,Azul S.A,11.71,99817,11.645,11.71
▲ 0.17%,BMI,"Badger Meter, Inc",63.27,0,63.27,63.27
▲ 1.49%,BLDP,Ballard Power Systems Inc,16.045,537058,16.045,16.465
▲ 0.38%,B,Barnes Group Inc,37.885,5922,37.355,37.885
▼ -1.24%,BBSI,"Barrett Business Services, Inc",52.265,3096,52.265,54.235
▼ -0.77%,BECN,"Beacon Roofing Supply, Inc",28.45,2292,28.45,28.45
▼ -0.71%,BDC,Belden Inc,32.26,6434,32.26,32.26
▲ 1.08%,BEST,BEST Inc,4.2,36475,4.165,4.2
▼ -10.92%,BHTG,"BioHiTech Global, Inc",1.835,369647,1.835,1.835
▲ 8.77%,BKYI,"BIO-key International, Inc",0.7179,11054986,0.6965,0.7367
▼ -0.98%,BE,Bloom Energy Corporation,16.745,321756,16.69,17.26
▼ -0.03%,BAH,Booz Allen Hamilton Holding Corporation,74.315,14590,74.12,74.515
▲ 0.04%,BRC,Brady Corporation,46.92,1687,46.715,47.08
▼ -0.17%,BV,"BrightView Holdings, Inc",11.7,6650,11.7,11.765
▼ -1.02%,BBU,Brookfield Business Partners L.P,29.18,418,29.18,29.18
▲ 1.60%,BLDR,"Builders FirstSource, Inc",23.47,26773,23.125,23.47
▼ -0.35%,BWXT,"BWX Technologies, Inc",53.63,23148,53.36,53.77
▼ -2.00%,CAI,"CAI International, Inc",17.435,11399,17.395,17.435
▲ 0.42%,CNI,Canadian National Railway Company,96.91,70133,96.3,96.965
▲ 0.38%,CP,Canadian Pacific Railway Limited,275.12,16432,274.18,275.21
▼ -10.80%,CPLP,Capital Product Partners L.P,7.35,145590,7.35,7.64
▲ 3.64%,CPST,Capstone Turbine Corporation,3.99,4286,3.99,3.99
▼ -1.80%,CATM,Cardtronics plc,22.88,8036,22.88,22.88
▼ -0.69%,CSL,Carlisle Companies Incorporated,120.01,14587,119.61,120.425
▼ -0.98%,CRS,Carpenter Technology Corporation,22.15,10792,22.015,22.225
▲ 0.53%,CARR,Carrier Global Corp.,26.72,403568,26.46,26.725
▼ -0.14%,CWST,"Casella Waste Systems, Inc",53.645,1547,53.645,54.2
▲ 0.19%,CASS,"Cass Information Systems, Inc",37.65,298,37.65,37.65
▲ 0.72%,CAT,Caterpillar Inc,138.575,259710,137.12,138.88
▲ 0.65%,GTLS,"Chart Industries, Inc",66.83,60343,66.55,67.33
▲ 0.88%,CHRW,"C.H. Robinson Worldwide, Inc",86.83,76688,86.14,86.83
▼ -0.59%,CTAS,Cintas Corporation,300.815,30867,300.17,303.795
▼ -0.71%,CLH,"Clean Harbors, Inc",59.135,13868,59.135,59.67
▼ -2.31%,CLIR,ClearSign Combustion Corporation,2.11,0,2.11,2.11
▲ 0.27%,CNHI,CNH Industrial N.V,7.47,43364,7.47,7.5
▲ 0.68%,CFX,Colfax Corporation,31.25,38594,30.58,31.25
▼ -0.16%,CLCT,"Collectors Universe, Inc",36.64,3855,36.64,36.7
▼ -0.52%,FIX,"Comfort Systems USA, Inc",40.865,4164,40.865,40.865
▼ -0.95%,ROAD,"Construction Partners, Inc",16.105,0,16.105,16.105
▲ 1.11%,VLRS,"Controladora Vuela Compania de Aviacion, S.A.B. de C.V",5.48,7448,5.48,5.48
▲ 0.32%,CPA,"Copa Holdings, S.A",44.935,27994,44.48,44.935
▲ 0.51%,CPRT,"Copart, Inc",89.98,61444,89.38,89.98
▼ -0.51%,CNR,"Cornerstone Building Brands, Inc",5.88,0,5.88,5.88
▼ -0.97%,CMRE,Costamare Inc,5.13,45980,5.13,5.13
▲ 0.79%,CVA,Covanta Holding Corporation,9.585,62344,9.56,9.585
▼ -0.68%,CR,Crane Co,60.17,8832,60.17,60.21
▲ 1.56%,CYRX,"Cryoport, Inc",33.93,7931,33.53,33.93
▼ -0.21%,CSWI,"CSW Industrials, Inc",67.48,733,67.48,68.74
▼ -0.03%,CSX,CSX Corporation,71.32,291726,70.99,71.46
▼ -1.23%,CUB,Cubic Corporation,41.415,25170,41.41,41.67
▲ 0.30%,CMI,Cummins Inc,188.805,64180,186.95,189.29
▼ -0.33%,CW,Curtiss-Wright Corporation,90.915,26276,90.505,90.915
▼ -0.43%,DE,Deere & Company,174.59,120745,173.14,174.835
▲ 0.04%,DAL,"Delta Air Lines, Inc",25.97,2443859,25.72,26.1
▼ -1.79%,DSX,Diana Shipping Inc,1.375,160251,1.36,1.38
▼ -2.41%,DGLY,"Digital Ally, Inc",3.24,290659,3.18,3.24
▲ 0.47%,DCI,"Donaldson Company, Inc",48.545,6533,48.235,48.545
▲ 0.06%,DOV,Dover Corporation,105.575,26419,104.955,105.64
▼ -7.19%,DPW,"DPW Holdings, Inc",2.71,294998,2.71,2.75
▲ 0.31%,DCO,Ducommun Incorporated,33.845,2655,33.78,33.845
▼ -0.21%,DY,"Dycom Industries, Inc",41.165,5076,41.165,41.165
▼ -0.41%,ETN,Eaton Corporation plc,93.23,62321,92.67,93.48
▲ 1.34%,ECHO,"Echo Global Logistics, Inc",26.755,0,26.755,26.755
▲ 0.25%,ERJ,Embraer S.A,6.115,114121,6.045,6.115
▼ -1.39%,EME,"EMCOR Group, Inc",62.65,4102,62.65,62.65
▼ -0.24%,EMR,Emerson Electric Co,63.205,174705,62.965,63.205
▲ 0.93%,ENR,"Energizer Holdings, Inc",48.6,10404,48.6,48.6
▲ 0.19%,ERII,"Energy Recovery, Inc",7.715,7630,7.655,7.715
▲ 0.14%,ENS,EnerSys,66.535,8407,66.535,66.64
▼ -0.17%,EFX,Equifax Inc,166.88,32938,166.86,167.88
▲ 0.21%,AQUA,Evoqua Water Technologies Corp,19.38,7094,19.355,19.38
▲ 0.05%,EXPD,"Expeditors International of Washington, Inc",80.23,62996,79.71,80.31
▲ 0.72%,EXPO,"Exponent, Inc",80.59,5447,80.51,80.59
▲ 0.44%,FAST,Fastenal Company,45.94,262529,45.79,45.945
▲ 0.81%,FSS,Federal Signal Corporation,29.86,6385,29.44,29.86
▲ 0.13%,FDX,FedEx Corporation,165.26,92861,163.99,165.26
▼ -1.06%,FLS,Flowserve Corporation,30,7599,30,30.275
▼ -1.43%,FLR,Fluor Corporation,11.73,126081,11.605,11.77
▲ 2.12%,FORR,"Forrester Research, Inc",32.82,1255,32.82,32.82
▲ 0.23%,FRTA,"Forterra, Inc",13.21,11053,13.2,13.23
▲ 0.41%,FTAI,Fortress Transportation and Infrastructure Investors LLC,14.74,10408,14.74,14.74
▲ 0.57%,FWRD,Forward Air Corporation,51.49,1634,51.49,51.49
▲ 0.25%,FBM,"Foundation Building Materials, Inc",14.195,1009,14.195,14.195
▲ 0.36%,FELE,"Franklin Electric Co., Inc",53.64,2174,53.495,53.655
▼ -0.12%,FCN,"FTI Consulting, Inc",112.63,9898,112.54,112.81
▲ 0.20%,FCEL,"FuelCell Energy, Inc",2.525,975779,2.525,2.55
▼ -0.54%,GATX,GATX Corporation,62.53,1336,62.53,62.53
▲ 0.30%,GNRC,Generac Holdings Inc,135.655,17657,135.42,136.44
▼ -0.80%,GD,General Dynamics Corporation,148.945,46076,148.07,149.255
▼ -0.51%,GE,General Electric Company,6.825,8328642,6.755,6.845
▲ 0.57%,GFN,General Finance Corporation,6.125,5115,6.125,6.125
▲ 0.97%,GFL,GFL Environmental Inc,20.74,47816,20.56,20.89
▼ -0.18%,ROCK,"Gibraltar Industries, Inc",50.78,2408,50.78,51.185
▲ 0.06%,GPN,Global Payments Inc,172.73,101575,171.915,172.83
▼ -2.00%,GSL,"Global Ship Lease, Inc",4.4,10739,4.4,4.4
▲ 0.63%,GLBS,Globus Maritime Limited,0.16,2479007,0.1599,0.16
▲ 0.02%,GMS,GMS Inc,24.015,4729,24.015,24.09
▲ 1.99%,GOGL,Golden Ocean Group Limited,3.58,14029,3.58,3.6
▼ -1.19%,GOL,Gol Linhas Aereas Inteligentes S.A,7.075,25544,7.075,7.075
▲ 0.75%,GGG,Graco Inc,53.74,19138,53.345,53.74
▲ 1.48%,EAF,GrafTech International Ltd,6.515,56454,6.43,6.515
▼ -1.35%,GVA,Granite Construction Incorporated,18.22,6986,18.22,18.22
▼ -0.93%,ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V",97.92,999,97.92,97.92
▲ 0.72%,HSC,Harsco Corporation,15.43,43502,15.095,15.43
▲ 0.99%,HA,"Hawaiian Holdings, Inc",13.27,72013,13.055,13.33
▲ 1.36%,HAYN,"Haynes International, Inc",22.28,0,22.28,22.28
▼ -0.60%,HDS,"HD Supply Holdings, Inc",35.445,22675,35.355,35.54
▼ -0.11%,HEES,"H&E Equipment Services, Inc",18.25,2836,18.25,18.25
▼ -0.91%,HEI.A,HEICO Corporation,75.005,3986,75.005,75.37
▼ -0.06%,HEI,HEICO Corporation,95.39,13676,94.72,95.64
▼ -1.15%,HSII,"Heidrick & Struggles International, Inc",20.69,591,20.69,20.975
▲ 0.49%,HLIO,"Helios Technologies, Inc",36.85,5784,36.48,37.47
▼ -0.26%,HRI,Herc Holdings Inc,36.075,4133,36.075,36.075
▲ 0.42%,HCCI,"Heritage-Crystal Clean, Inc",14.37,934,14.33,14.37
▼ -1.61%,MLHR,"Herman Miller, Inc",22.62,29439,22.385,22.665
▲ 3.80%,HTZ,"Hertz Global Holdings, Inc",1.64,2393035,1.56,1.66
▲ 0.50%,HXL,Hexcel Corporation,45.88,19424,45.405,45.88
▼ -1.06%,HI,"Hillenbrand, Inc",27.9,11057,27.87,27.9
▼ -0.54%,HNI,HNI Corporation,30.185,2543,30.185,30.185
▼ -0.17%,HOLI,Hollysys Automation Technologies Ltd,12.04,4104,12.02,12.1
▼ -0.26%,HON,Honeywell International Inc,149.04,309575,148,149.24
▼ -1.09%,HWM,Howmet Aerospace Inc.,15.38,234528,15.215,15.535
▼ -0.50%,HUBB,Hubbell Incorporated,131.93,3394,131.93,131.93
▼ -0.13%,HUBG,"Hub Group, Inc",51.335,1161,51.2,51.335
▼ -1.30%,HII,"Huntington Ingalls Industries, Inc",174.76,11596,174.76,175.81
▲ 0.65%,HURN,Huron Consulting Group Inc,43.6,626,43.6,43.6
▼ -0.70%,IAA,"IAA, Inc",39.98,7700,39.93,39.98
▲ 0.42%,IEP,Icahn Enterprises L.P,49.69,8082,49.69,49.69
▼ -0.77%,ICFI,"ICF International, Inc",63.435,1154,63.435,63.585
▲ 0.71%,IEX,IDEX Corporation,168.86,14736,167.72,168.86
▼ -0.15%,INFO,IHS Markit Ltd,79.44,48110,79.2,79.7
▲ 0.17%,ITW,Illinois Tool Works Inc,185.095,60944,183.995,185.095
▲ 12.60%,IGC,"India Globalization Capital, Inc",0.622,1329693,0.622,0.6221
▲ 0.22%,IR,Ingersoll-Rand Plc,31.67,117958,31.46,31.71
▼ -0.97%,NSP,"Insperity, Inc",64.57,0,64.57,64.57
▲ 0.34%,IBP,"Installed Building Products, Inc",78.895,2495,78.895,78.895
▼ -1.29%,IIIN,"Insteel Industries, Inc",19.12,1616,19.12,19.2
▼ -1.23%,INSW,"International Seaways, Inc",16.92,4768,16.92,16.92
▲ 2.54%,IVAC,"Intevac, Inc",5.445,1389,5.445,5.445
▼ -0.32%,ITT,ITT Inc,59.27,5442,59.27,59.27
▼ -0.62%,J,Jacobs Engineering Group Inc.,83.42,19702,83.075,83.81
▼ -0.42%,JBHT,"J.B. Hunt Transport Services, Inc",130.24,34413,129.97,131.06
▲ 0.75%,JELD,"JELD-WEN Holding, Inc",18.72,19812,18.49,18.72
▲ 1.41%,JBLU,JetBlue Airways Corporation,10.435,1141715,10.24,10.45
▲ 0.01%,JBT,John Bean Technologies Corporation,89.96,1696,89.955,89.96
▼ -0.23%,JCI,Johnson Controls International plc,36.715,216185,36.515,36.75
▼ -0.60%,KAI,Kadant Inc,118.23,3000,117.49,118.645
▼ -1.03%,KAMN,Kaman Corporation,40.31,1370,40.31,40.31
▼ -0.07%,KSU,Kansas City Southern,154.59,30923,154.15,154.76
▼ -0.14%,KBR,"KBR, Inc",22.11,31857,21.93,22.11
▼ -0.13%,KELYA,"Kelly Services, Inc",15.13,1975,15.13,15.385
▲ 0.19%,KMT,Kennametal Inc,26.85,10500,26.7,26.85
▼ -1.07%,KFRC,Kforce Inc,27.73,0,27.73,27.95
▲ 0.53%,KE,"Kimball Electronics, Inc",13.19,1913,13.12,13.19
▼ -0.76%,KEX,Kirby Corporation,46.84,9588,46.765,47.12
▼ -0.73%,KNX,Knight-Swift Transportation Holdings Inc,44.78,71940,44.71,45.05
▼ -1.62%,KNL,"Knoll, Inc",11.55,18103,11.355,11.55
▼ -0.51%,KFY,Korn Ferry,29.13,0,29.13,29.13
▲ 1.30%,KRNT,Kornit Digital Ltd,54.68,3940,54.565,54.68
▼ -3.14%,KTOS,"Kratos Defense & Security Solutions, Inc",18.79,262837,18.755,19.43
▼ -1.24%,LHX,"L3Harris Technologies, Inc",169.125,99114,168.36,171.6
▼ -0.13%,LSTR,"Landstar System, Inc",123.21,19076,122.17,123.21
▼ -0.42%,FSTR,L.B. Foster Company,13.125,463,13.125,13.125
▲ 6.40%,LMB,"Limbach Holdings, Inc",3.99,0,3.99,3.99
▲ 3.20%,LECO,"Lincoln Electric Holdings, Inc",94.46,59812,92.815,94.96
▼ -0.97%,LMT,Lockheed Martin Corporation,382.445,143318,380.24,383.775
▲ 1.47%,LPX,Louisiana-Pacific Corporation,31.09,45276,30.7,31.09
▼ -0.82%,MAN,ManpowerGroup Inc,71.42,6498,71.42,72.05
▲ 1.95%,MRTN,"Marten Transport, Ltd",26.885,8714,26.785,26.885
▲ 1.25%,MAS,Masco Corporation,54.775,116629,54.235,54.815
▼ -0.82%,MTZ,"MasTec, Inc",39.74,26427,39.665,40.02
▼ -0.18%,MATX,"Matson, Inc",35.125,5133,34.95,35.125
▼ -0.91%,MRCY,"Mercury Systems, Inc",76.52,10621,76.52,77.69
▼ -1.64%,MESA,"Mesa Air Group, Inc",3.305,0,3.305,3.305
▼ -0.86%,MG,"Mistras Group, Inc",3.47,0,3.47,3.47
▲ 0.25%,MOG.A,Moog Inc,54.955,5151,54.12,54.955
▼ -0.62%,MSA,MSA Safety Incorporated,114.1,2484,113.96,114.1
▼ -0.37%,MSM,"MSC Industrial Direct Co., Inc",67.1,13039,67.1,67.21
▲ 0.11%,MLI,"Mueller Industries, Inc",28,1855,28,28.2
▼ -0.85%,MWA,"Mueller Water Products, Inc",9.935,10529,9.92,9.935
▼ -1.82%,NMM,Navios Maritime Partners L.P,8.63,850,8.63,8.63
▼ -0.81%,NAV,Navistar International Corporation,30.55,20322,30.55,30.585
▲ 3.99%,NEWA,"Newater Technology, Inc",3.47,6,3.47,3.47
▼ -0.87%,NLSN,Nielsen Holdings plc,14.8,123604,14.745,14.94
▼ -0.76%,NNBR,"NN, Inc",5.19,12622,5.19,5.26
▲ 0.24%,NAT,Nordic American Tankers Limited,4.26,344118,4.225,4.315
▲ 1.16%,NDSN,Nordson Corporation,194.455,6162,192.43,194.455
▲ 0.21%,NSC,Norfolk Southern Corporation,187.4,132390,185.245,187.4
▼ -1.27%,NOC,Northrop Grumman Corporation,308.715,74225,307.52,310.66
▼ -0.16%,NWPX,Northwest Pipe Company,25.19,675,25.19,25.19
▼ -0.24%,NVT,nVent Electric plc,18.635,31485,18.615,18.73
▲ 8.04%,NXTD,"Nxt-ID, Inc",0.4689,603889,0.4689,0.4689
▲ 0.50%,ODFL,"Old Dominion Freight Line, Inc",183.15,66058,182.285,183.15
▼ -1.39%,OFLX,"Omega Flex, Inc",116,0,116,116
▲ 1.18%,OSK,Oshkosh Corporation,79.58,21329,78.435,79.58
▼ -0.41%,OTIS,Otis Worldwide Corporation,57.89,128894,57.665,58.01
▲ 1.18%,OC,Owens Corning,62.49,28406,61.32,62.49
▲ 0.24%,PCAR,PACCAR Inc,85.95,89499,85.6,86.13
▲ 0.29%,PH,Parker-Hannifin Corporation,183.39,36625,180.815,183.42
▲ 0.25%,PSN,Parsons Corporation,33.945,4403,33.945,33.945
▼ -0.16%,PATK,"Patrick Industries, Inc",63.58,5804,63.58,63.58
▼ -0.14%,PAYX,"Paychex, Inc",72.09,57987,71.81,72.135
▲ 0.46%,PAYS,"PaySign, Inc",8.77,12000,8.77,8.83
▲ 0.52%,PNR,Pentair plc,42.6,101481,42.4,42.715
▲ 0.36%,PGTI,"PGT Innovations, Inc",16.88,0,16.88,16.88
