Change%,Company,Company2,Price,Volume,Low,High
▲ 0.18%,OTEX,Open Text Corporation,44.59,37861,44.5,44.795
▲ 0.22%,ORCL,Oracle Corporation,55.77,674784,55.435,55.77
▲ 0.64%,OSIS,"OSI Systems, Inc",67.8,2245,67.68,67.8
▼ -0.11%,PD,"PagerDuty, Inc",27.02,92080,26.72,27.2
▲ 1.78%,PAGS,PagSeguro Digital Ltd,37.8,40701,37.68,37.83
▲ 0.66%,PANW,"Palo Alto Networks, Inc",245.39,37059,244.64,245.69
▲ 0.35%,PAYC,"Paycom Software, Inc",287.98,12198,287.98,287.98
▲ 0.17%,PCTY,Paylocity Holding Corporation,132.19,7431,132.11,132.92
▲ 1.21%,CNXN,"PC Connection, Inc",41.475,1586,41.26,41.475
▲ 0.15%,PDFS,"PDF Solutions, Inc",19.5,1383,19.5,19.5
▲ 0.63%,PEGA,Pegasystems Inc,102.56,6641,102.4,102.8
▼ -2.88%,PRCP,"Perceptron, Inc",4.21,14029,4.21,4.21
▼ -0.79%,PRSP,Perspecta Inc,21.43,7532,21.43,21.46
▲ 2.63%,PLAB,"Photronics, Inc",11.69,29032,11.66,11.695
▲ 2.68%,PHUN,"Phunware, Inc",1.535,229625,1.535,1.535
▲ 2.24%,PING,Ping Identity Holding Corp,33.505,41515,33.145,33.505
▲ 1.08%,PXLW,"Pixelworks, Inc",3.285,39283,3.25,3.295
▲ 0.79%,PLXS,Plexus Corp,72.43,10410,72.185,73.16
▲ 1.18%,PS,"Pluralsight, Inc",18.475,41989,18.23,18.51
▲ 3.26%,POWI,"Power Integrations, Inc",121.735,7797,119.92,121.735
▼ -0.39%,PRGS,Progress Software Corporation,34.435,7468,34.335,34.435
▲ 1.46%,PFPT,"Proofpoint, Inc",120.485,29653,119.575,120.625
▲ 2.00%,PTC,PTC Inc,83.09,79444,82.475,83.09
▲ 2.41%,PSTG,"Pure Storage, Inc",17.645,528873,17.26,17.645
▲ 0.30%,QTWO,"Q2 Holdings, Inc",92.645,7180,92.47,92.645
▲ 2.14%,QRVO,"Qorvo, Inc",114.31,96521,113.1,114.56
▲ 2.27%,QCOM,QUALCOMM Incorporated,90.905,1089879,89.4,90.94
▲ 1.20%,QLYS,"Qualys, Inc",111.605,11353,111.41,111.605
▲ 0.89%,QMCO,Quantum Corporation,4.52,4950,4.465,4.52
▲ 0.65%,RDWR,Radware Ltd,24.83,18262,24.795,24.83
▲ 2.01%,RMBS,Rambus Inc,14.72,18668,14.64,14.72
▲ 0.74%,RPD,"Rapid7, Inc",55.72,59924,55.34,55.72
▲ 0.23%,RP,"RealPage, Inc",64.045,12118,64.02,64.28
▲ 2.06%,RPAY,Repay Holdings Corporation,22.995,21040,22.915,22.995
▲ 3.85%,RESN,Resonant Inc,2.43,60424,2.43,2.43
▲ 2.82%,RNG,"RingCentral, Inc",275.81,58113,270.88,275.81
▲ 20.50%,RIOT,"Riot Blockchain, Inc",2.675,5778289,2.48,2.7
▲ 0.39%,ROG,Rogers Corporation,129.41,2885,129.32,129.43
▲ 1.70%,RST,Rosetta Stone Inc,25.15,28413,25.15,25.15
▼ -1.08%,SABR,Sabre Corporation,7.36,445606,7.2,7.43
▼ -1.22%,SFET,Safe-T Group Ltd,1.62,19266,1.62,1.62
▲ 0.67%,SAIL,"SailPoint Technologies Holdings, Inc",30.765,69242,30.7,30.92
▲ 1.17%,CRM,"salesforce.com, inc",190.7,353396,188.825,190.81
▼ -0.91%,SANM,Sanmina Corporation,25.17,4959,25.17,25.71
▲ 2.89%,SAP,SAP SE,163.2,155335,162.185,163.2
▼ -0.18%,SAIC,Science Applications International Corporation,76.21,14157,75.93,76.32
▼ -1.41%,SEAC,"SeaChange International, Inc",1.4,21039,1.4,1.4
▲ 0.83%,STX,Seagate Technology plc,48.44,197930,48,48.46
▲ 1.78%,SCWX,SecureWorks Corp,12,9270,11.8,12
▲ 1.76%,SMTC,Semtech Corporation,52.6,15551,52.51,52.6
▲ 0.37%,ST,Sensata Technologies Holding plc,40.57,83568,40.32,40.67
▲ 1.03%,SQNS,Sequans Communications S.A,6.87,16115,6.87,6.89
▲ 1.94%,NOW,"ServiceNow, Inc",433.43,107254,428.365,433.43
▲ 0.80%,SHSP,"SharpSpring, Inc",7.59,3285,7.59,7.59
▲ 2.78%,SHOP,Shopify Inc,955.65,320937,938.25,955.65
▲ 4.00%,SWIR,"Sierra Wireless, Inc",11.69,85396,11.4,11.69
▲ 0.90%,SLAB,Silicon Laboratories Inc,103.17,1847,103.17,103.17
▼ -1.32%,SIMO,Silicon Motion Technology Corporation,41,21294,41,41
▲ 3.02%,SWKS,"Skyworks Solutions, Inc",135.59,223298,132.67,135.73
▼ -1.33%,WORK,"Slack Technologies, Inc",29.325,1792751,29.13,29.91
▲ 0.20%,SGH,"SMART Global Holdings, Inc",27.585,2369,27.585,27.585
▲ 1.17%,SMAR,Smartsheet Inc,47.4,83770,47.015,47.63
▲ 0.63%,SMSI,"Smith Micro Software, Inc",4.025,69945,4.025,4.05
▲ 125.67%,SCKT,"Socket Mobile, Inc",3.385,45205126,3.37,4.15
▲ 3.41%,SEDG,"SolarEdge Technologies, Inc",177.46,102957,174.77,177.46
▲ 3.11%,SONO,"Sonos, Inc",16.91,391475,16.745,16.91
▲ 2.30%,SNE,Sony Corporation,78.22,67214,77.72,78.225
▲ 10.61%,ANY,Sphere 3D Corp,3.65,483375,3.61,3.74
▲ 0.78%,SPLK,Splunk Inc,201.13,71031,200.345,201.13
▲ 1.51%,SPT,Sprout Social Inc Class A,27.48,10416,27.48,27.48
▲ 0.83%,SPSC,"SPS Commerce, Inc",72.67,3273,72.56,72.67
▲ 2.38%,SQ,"Square, Inc",124.3,1051235,123.57,125.95
▲ 0.89%,SSNC,"SS&C Technologies Holdings, Inc",56.245,25369,55.77,56.275
▲ 1.77%,STMP,Stamps.com Inc,219.815,9379,219.815,219.815
▲ 3.38%,STM,STMicroelectronics N.V,30.6,512225,30.26,30.6
▲ 1.76%,STNE,StoneCo Ltd,43.43,52256,43.17,43.43
▲ 0.17%,SSYS,Stratasys Ltd,15.155,30261,15.06,15.155
▲ 9.15%,NOVA,Sunnova Energy International Inc,24.34,100530,23.34,24.34
▲ 2.36%,SPWR,SunPower Corporation,9.97,222224,9.79,9.985
▲ 4.21%,RUN,Sunrun Inc,42.715,416964,41.25,42.715
▲ 2.25%,SCON,Superconductor Technologies Inc,0.4453,635693,0.4453,0.4506
▲ 1.90%,SVMK,SVMK Inc,22.775,22474,22.415,22.775
▲ 0.20%,SWCH,"Switch, Inc",17.595,33862,17.505,17.66
▲ 1.96%,SYNA,Synaptics Incorporated,79.72,11456,79.72,79.735
▲ 1.75%,SNCR,"Synchronoss Technologies, Inc",3.49,15644,3.49,3.49
▲ 0.21%,SNX,SYNNEX Corporation,121.985,11207,121.065,121.985
▲ 1.62%,SNPS,"Synopsys, Inc",196.51,41946,194.56,196.51
▲ 10.04%,TSM,Taiwan Semiconductor Manufacturing Company Limited,81.32,9431608,80.47,82.22
▲ 1.35%,TEL,TE Connectivity Ltd,88.45,126050,86.85,88.45
▼ -0.20%,TDY,Teledyne Technologies Incorporated,308.325,2121,308.325,308.325
▲ 2.15%,ERIC,Telefonaktiebolaget LM Ericsson (publ),11.635,874391,11.535,11.635
▲ 1.93%,TNAV,"Telenav, Inc",5.28,32295,5.28,5.28
▲ 1.59%,TENB,"Tenable Holdings, Inc",30.435,40796,30,30.435
▲ 3.50%,TER,"Teradyne, Inc",86.45,170569,84.45,86.48
▲ 1.66%,TXN,Texas Instruments Incorporated,131.77,271620,130.18,131.83
▲ 2.46%,LGL,"The LGL Group, Inc",8.73,62,8.73,8.73
▲ 0.87%,TTD,"The Trade Desk, Inc",429.78,75096,426.71,429.93
▲ 1.66%,TSEM,Tower Semiconductor Ltd,23.625,51138,23.5,23.625
▼ -4.71%,TACT,TransAct Technologies Incorporated,3.64,110,3.64,3.64
▲ 0.83%,TRMB,Trimble Inc,44.395,13256,44.04,44.475
▲ 0.99%,TTMI,"TTM Technologies, Inc",11.745,20007,11.63,11.745
▲ 2.57%,HEAR,Turtle Beach Corporation,18.155,49799,17.91,18.155
▲ 0.25%,TYL,"Tyler Technologies, Inc",358.08,5461,356.56,359.055
▲ 0.61%,UBER,"Uber Technologies, Inc",31.37,926692,31.2,31.59
▲ 3.01%,UCTT,"Ultra Clean Holdings, Inc",23.765,22412,23.275,23.765
▼ -0.05%,UIS,Unisys Corporation,10.985,8632,10.985,11.05
▲ 17.37%,UMC,United Microelectronics Corporation,3.92,1081790,3.7,3.99
▲ 4.74%,OLED,Universal Display Corporation,164.11,77054,159.18,164.2
▲ 1.52%,UEIC,Universal Electronics Inc,48.345,514,48.345,48.345
▲ 0.41%,UPLD,"Upland Software, Inc",34.28,2288,34.215,34.37
▲ 0.97%,VRNS,"Varonis Systems, Inc",102.65,3451,102.65,102.65
▲ 0.45%,VERB,"Verb Technology Company, Inc",1.125,193488,1.125,1.14
▲ 1.95%,VRNT,Verint Systems Inc,43.88,13876,43.09,43.88
▲ 1.11%,VRSN,"VeriSign, Inc",210.845,32636,208.98,210.845
▲ 1.75%,VERI,"Veritone, Inc",11.02,8344,11.02,11.02
▼ -1.77%,VSAT,"Viasat, Inc",36.72,23494,36.72,37.01
▲ 0.75%,VIAV,Viavi Solutions Inc,13.44,105188,13.365,13.44
▲ 0.38%,VICR,Vicor Corporation,77.275,15240,76.48,77.275
▼ -0.06%,VRTU,Virtusa Corporation,32.87,3182,32.81,32.995
▲ 1.64%,VSH,"Vishay Intertechnology, Inc",15.46,29609,15.445,15.46
▼ -0.42%,VISL,"Vislink Technologies, Inc",0.707,2823934,0.707,0.7392
▲ 4.98%,VSLR,"Vivint Solar, Inc",23.62,274681,23.265,23.62
▼ -0.27%,VMW,"VMware, Inc",140.44,31134,140.4,140.72
▲ 0.67%,VCRA,"Vocera Communications, Inc",23.365,9051,23.25,23.38
▲ 4.37%,VUZI,Vuzix Corporation,4.06,41253,4,4.06
▲ 1.58%,WTRH,Waitr Holdings Inc,4.835,0,4.835,4.835
▲ 0.02%,WDC,Western Digital Corporation,42.86,545259,42.63,43.07
▼ -0.63%,WEX,WEX Inc,160.585,9100,160.405,160.65
▼ -0.87%,WTT,"Wireless Telecom Group, Inc",1.13,1518,1.13,1.13
▲ 2.18%,WIX,Wix.com Ltd,273.3,27946,268.845,273.69
▼ -0.08%,WDAY,"Workday, Inc",182.63,79382,182.525,184.7
▲ 2.71%,WRTC,"Wrap Technologies, Inc",11.37,100393,11.21,11.37
▼ -0.61%,XRX,Xerox Holdings Corporation,15.56,357907,15.35,15.63
▲ 3.37%,XLNX,"Xilinx, Inc",106.12,374855,103.49,106.12
▲ 9.50%,XPER,Xperi Corporation,16.315,763576,15.94,16.7
▲ 0.68%,YEXT,"Yext, Inc",16.27,18083,16.27,16.27
▲ 1.58%,ZBRA,Zebra Technologies Corporation,274.25,8067,272.445,274.25
▼ -0.21%,ZEN,"Zendesk, Inc",93.92,161626,93.75,95.115
▲ 2.41%,ZIXI,Zix Corporation,6.38,68695,6.325,6.38
▲ 1.07%,ZI,ZoomInfo Technologies Inc. Class A,40.015,59091,39.93,40.015
▲ 2.47%,ZS,"Zscaler, Inc",124.73,421682,122.36,124.865
▲ 1.56%,ZUO,"Zuora, Inc",11.7,48426,11.7,11.7
▲ 3.12%,PWFL,,4.3,6037,4.3,4.3
