Change%,Company,Company2,Price,Volume,Low,High
▲ 0.90%,HCAC,Hennessy Capital Acquisition Corp. IV,11.755,33646,11.755,11.755
▼ -2.70%,HTBK,Heritage Commerce Corp,7.035,17452,7.02,7.12
▼ -1.84%,HTH,Hilltop Holdings Inc,18.15,8018,18.125,18.15
▲ 0.47%,HBCP,"Home Bancorp, Inc",25.62,339,25.62,25.62
▼ -1.43%,HOMB,"Home Bancshares, Inc. (Conway, AR)",16.57,42886,16.445,16.6
▲ 2.29%,HMST,"HomeStreet, Inc",24.6,806,24.22,24.6
▼ -3.35%,HOPE,"Hope Bancorp, Inc",8.36,44788,8.335,8.51
▼ -0.12%,HMN,Horace Mann Educators Corporation,37.895,791,37.895,37.895
▼ -0.84%,HLI,"Houlihan Lokey, Inc",55.76,1946,55.76,55.76
▼ -2.30%,HSBC,HSBC Holdings plc,22.705,463420,22.665,22.705
▼ -1.25%,HBAN,Huntington Bancshares Incorporated,9.48,605284,9.415,9.62
▼ -5.01%,IBN,ICICI Bank Limited,9.765,1641613,9.645,9.765
▼ -2.27%,INDB,Independent Bank Corp,65.245,1656,65.245,65.705
▼ -1.90%,IBCP,Independent Bank Corporation,13.135,1632,13.135,13.135
▼ -1.66%,IBTX,"Independent Bank Group, Inc",42.05,11040,41.825,42.14
▼ -0.74%,IBKR,"Interactive Brokers Group, Inc",49.015,20760,48.89,49.15
▼ -0.47%,ICE,"Intercontinental Exchange, Inc",95.87,195574,95.495,95.91
▼ -1.68%,IVZ,Invesco Ltd,10.265,236906,10.18,10.36
▼ -2.03%,ISBC,"Investors Bancorp, Inc",8.205,63035,8.16,8.295
▲ 0.88%,ITUB,Itau Unibanco Holding S.A,5.135,1757698,5.095,5.145
▲ 0.17%,JRVR,"James River Group Holdings, Ltd",47.01,779,46.46,47.01
▼ -0.09%,JHG,Janus Henderson Group plc,22.02,37578,21.94,22.02
▼ -1.78%,JEF,Jefferies Financial Group Inc,16.52,61785,16.435,16.7
▼ -1.88%,JPM,JPMorgan Chase & Co,96.43,1501072,96.22,97.4
▼ -1.05%,JP,Jupai Holdings Limited,1.88,100,1.88,1.88
▼ -0.51%,KYN,Kayne Anderson MLP/Midstream Investment Company,4.865,85429,4.85,4.89
▲ 1.57%,KB,KB Financial Group Inc,29.485,24184,29.33,29.485
▼ -2.58%,KRNY,Kearny Financial Corp,7.375,7415,7.375,7.375
▼ -1.49%,KMPR,Kemper Corporation,77.29,2254,77.29,77.29
▼ -1.67%,KEY,KeyCorp,12.045,681024,11.99,12.13
▼ -0.63%,KKR,KKR & Co. Inc,34.47,110878,34.43,34.58
▼ -1.61%,LBAI,"Lakeland Bancorp, Inc",10.4,4050,10.4,10.67
▼ -1.30%,LCA,"Landcadia Holdings II, Inc",12.535,342057,12.535,12.88
▼ -1.22%,LAZ,Lazard Ltd,27.61,16953,27.52,27.61
▲ 0.01%,LM,"Legg Mason, Inc",49.985,63667,49.98,49.99
▼ -5.99%,LMND,Lemonade Inc,73.3,464673,72.03,75.335
▼ -1.29%,LC,LendingClub Corporation,5.36,8919,5.36,5.365
▼ -0.57%,TREE,"LendingTree, Inc",351.795,6732,351.675,355.6
▼ -1.51%,LX,LexinFintech Holdings Ltd,8.47,192899,8.47,8.68
▼ -3.09%,LNC,Lincoln National Corporation,36.06,68452,36.06,36.86
▼ -1.71%,LYG,Lloyds Banking Group plc,1.435,1028701,1.435,1.445
