Change%,Company,Company2,Price,Volume,Low,High
▼ -8.29%,SCHL,Scholastic Corporation,26.21,418968,25.03,29.15
▼ -0.16%,SJ,Scienjoy Holding Corporation,6.18,800,6.18,6.27
▲ 1.01%,SCPL,SciPlay Corporation,14.99,2166100,14.75,16.11
▼ -1.68%,SE,Sea Limited,107.12,3764397,101.7,108.2
▼ -0.81%,SJR,Shaw Communications Inc,17.65,376116,17.58,17.795
▲ 0.22%,SHEN,Shenandoah Telecommunications Company,49.63,90338,49.07,49.99
▲ 2.31%,SSTK,"Shutterstock, Inc",41.7,168800,40.41,41.8
▼ -5.08%,SIFY,Sify Technologies Limited,1.12,149802,1.105,1.23
▲ 0.70%,SINA,SINA Corporation,40.02,566800,39.1,40.14
▲ 1.39%,SBGI,"Sinclair Broadcast Group, Inc",20.48,1470700,20.13,21.1
▲ 0.25%,SIRI,Sirius XM Holdings Inc,5.905,19106612,5.85,5.95
0.00%,SITO,"SITO Mobile, Ltd",0.13,11078,0.1249,0.13
▼ -0.94%,SKM,"SK Telecom Co.,Ltd",18.98,785363,18.89,19.07
▲ 0.82%,SNAP,Snap Inc,22.15,22445800,21.53,22.45
▲ 21.05%,SOGO,Sogou Inc,5.75,10380100,5.14,5.88
▲ 9.24%,SOHU,Sohu.com Limited,11.11,550928,10.1,11.3
▼ -0.26%,LOV,Spark Networks SE,3.88,42000,3.88,4.12
▼ -3.44%,SPOK,"Spok Holdings, Inc",9.26,23352,9.25,9.6408
▲ 0.45%,SPOT,Spotify Technology S.A,268.74,2395713,257.03,270.8146
▼ -5.47%,SRAX,"SRAX, Inc",2.42,22300,2.35,2.525
▼ -1.68%,SLGG,"Super League Gaming, Inc",2.34,88217,2.31,2.4
▲ 3.00%,TTWO,"Take-Two Interactive Software, Inc",156.02,1611422,148.88,156.66
▲ 0.38%,TTGT,"TechTarget, Inc",34.4,220757,33.74,34.63
▼ -0.94%,TGNA,TEGNA Inc,11.6,1019000,11.54,11.9
▼ -2.05%,TEO,Telecom Argentina S.A,10.05,79599,9.99,10.265
